gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,1,3,0.8,0.0,1.4,0.2,23,70,0,0,0,0,1,0,False,12
2,0,0,12.3,0.0,1.2,1.4,23,70,0,0,1,0,0,0,True,2
3,1,2,0.7,0.0,0.0,0.0,15,69,0,0,0,0,1,0,False,1
4,1,3,13.4,24.0,5.0,4.2,45,69,0,0,0,0,1,0,True,20
5,13,36,10.8,36.0,66.0,11.3,81,68,2,0,1,0,1,0,False,8
6,3,12,24.2,9.0,5.0,3.8,90,68,0,0,0,0,0,0,True,6
7,5,18,5.1,14.0,0.2,1.9,71,68,0,1,0,0,1,0,True,14
8,2,10,5.4,33.0,4.8,4.3,69,68,0,0,0,0,1,0,False,3
9,1,4,11.9,6.0,2.4,2.0,39,68,0,0,0,0,0,0,True,17
10,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,False,11
11,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,True,4
12,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,False,10
13,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,True,13
14,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,False,15
15,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,True,5
16,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,True,7
17,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,False,9
18,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,18
19,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,16
20,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,4
21,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,3
22,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,1
23,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,2
24,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,20
25,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,12
26,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,7
27,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,9
28,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,13
29,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,15
30,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,5
31,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,10
32,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,8
33,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,6
34,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,14
35,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,11
36,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,17
37,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,True,16
38,0,0,0.0,0.0,0.0,0.0,0,67,0,0,0,0,0,0,False,18
39,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0,True,11
40,1,2,1.3,0.0,0.4,0.2,13,60,0,0,0,0,0,0,False,4
41,1,9,22.8,13.0,12.2,4.8,54,59,0,0,0,0,1,0,False,18
42,8,22,24.3,35.0,33.4,9.3,70,59,1,0,0,0,0,0,True,14
43,3,6,12.8,21.0,2.0,3.6,61,59,0,0,0,0,0,0,False,2
44,11,31,14.8,47.0,47.2,10.9,88,59,1,0,0,0,0,0,True,12
45,9,37,29.3,27.0,44.4,10.1,90,59,1,0,0,0,2,0,False,3
46,1,10,18.6,2.0,5.4,2.6,77,60,0,0,1,0,1,0,True,7
47,1,2,14.8,11.0,7.6,3.3,45,60,0,0,0,0,1,0,False,8
48,8,30,48.6,36.0,24.4,10.9,90,60,0,1,0,0,1,0,True,15
49,1,2,0.6,0.0,0.0,0.0,45,60,0,0,0,0,2,0,True,13
50,2,0,17.5,32.0,10.4,6.0,70,60,0,0,0,0,2,0,False,5
51,1,3,1.2,0.0,0.0,0.1,55,59,0,0,0,0,3,0,True,17
52,0,-1,0.1,2.0,0.2,0.2,19,58,0,0,1,0,0,0,False,6
53,1,3,1.3,18.0,0.4,2.0,28,57,0,0,0,0,1,0,False,20
54,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0,True,1
55,1,0,0.4,4.0,0.0,0.2,17,55,0,0,0,0,0,0,False,16
56,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,7
57,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,9
