gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,8
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,16
3,1,3,0.0,0.0,2.2,0.2,8,44,0,0,0,0,1,0,True,11
4,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,3
5,0,16,0.3,0.0,15.6,1.6,49,44,0,0,0,0,3,0,True,1
6,3,18,10.3,4.0,21.4,3.6,45,44,0,1,0,0,2,0,False,9
7,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,4
8,-1,18,0.5,6.0,30.2,3.7,90,44,0,0,0,0,6,0,False,2
9,1,8,0.3,4.0,10.0,1.4,23,44,0,0,0,0,0,0,True,14
10,2,15,0.4,0.0,24.2,2.5,90,44,0,0,0,0,1,0,False,18
11,2,6,1.0,7.0,2.8,1.1,73,44,0,0,0,0,1,0,True,13
12,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,15
13,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,19
14,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,12
15,4,20,12.3,13.0,27.0,5.2,90,44,0,1,0,0,3,0,True,5
16,0,15,0.9,20.0,37.8,5.9,90,44,0,0,1,0,3,0,False,17
17,1,9,1.0,89.0,23.2,11.3,90,44,0,0,1,0,1,0,False,20
18,1,20,14.9,4.0,25.4,4.4,90,44,0,0,0,0,3,0,True,10
19,3,20,1.3,4.0,14.8,2.0,90,44,0,1,1,0,2,0,True,6
20,1,19,5.7,12.0,18.6,3.6,90,44,0,0,0,0,3,0,False,19
21,2,11,12.0,7.0,10.6,3.0,90,44,0,0,0,0,1,0,True,2
22,1,23,10.8,36.0,41.6,8.8,90,44,0,0,0,0,2,0,False,4
23,6,21,0.3,28.0,24.8,5.3,90,44,0,0,0,0,0,0,False,11
24,5,23,0.2,2.0,41.6,4.4,90,44,0,0,1,0,0,0,True,9
25,1,15,16.3,18.0,20.2,5.5,90,44,0,0,0,0,2,0,False,1
26,4,21,1.2,20.0,39.0,6.0,90,44,0,0,0,0,1,0,True,3
27,1,17,1.3,52.0,37.2,9.1,90,44,0,0,0,0,3,0,False,8
28,2,14,1.4,0.0,25.6,2.7,90,44,0,0,0,0,1,0,True,16
29,0,12,0.4,0.0,19.0,1.9,90,44,0,0,0,0,4,0,False,6
30,2,10,0.9,2.0,8.6,1.2,90,44,0,0,0,0,1,0,True,20
31,7,26,13.4,25.0,54.0,9.2,80,44,1,0,0,0,2,0,True,12
32,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,10
33,7,28,23.4,55.0,57.2,13.6,90,44,1,0,0,0,3,0,False,14
34,9,32,1.1,0.0,29.6,3.1,90,44,0,0,0,0,0,0,True,18
35,5,25,12.5,16.0,24.0,5.3,90,44,0,0,1,0,0,0,False,13
36,1,15,12.0,7.0,15.8,3.5,90,44,0,0,0,0,2,0,True,15
37,0,3,1.1,8.0,5.6,1.5,49,44,0,0,0,0,2,0,False,5
38,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,17
39,3,22,11.0,6.0,46.4,6.3,90,50,0,1,0,0,4,0,False,1
40,15,39,0.7,35.0,52.2,8.8,90,50,1,0,0,0,0,0,True,3
41,1,16,0.9,2.0,32.4,3.5,90,51,0,0,0,0,2,0,False,12
42,1,20,1.5,2.0,21.8,2.5,90,51,0,0,0,0,2,0,True,5
43,2,16,3.4,0.0,19.6,2.3,90,51,0,0,0,0,1,0,False,8
44,5,30,11.2,2.0,43.8,5.7,90,51,0,1,0,0,3,0,True,10
45,6,24,0.3,0.0,14.8,1.5,90,51,0,0,0,0,0,0,False,2
46,2,18,11.3,43.0,22.2,7.7,90,51,0,0,0,0,1,0,True,19
47,2,15,10.2,4.0,37.8,5.2,90,51,0,0,0,0,1,0,False,16
48,6,23,0.2,0.0,24.8,2.5,90,51,0,0,0,0,0,0,True,7
49,4,23,21.3,4.0,27.0,5.2,90,51,0,1,0,0,2,0,False,15
50,0,3,0.3,6.0,5.0,1.1,90,51,0,0,1,0,2,0,True,11
51,2,14,0.5,0.0,10.2,1.1,90,51,0,0,0,0,1,0,False,20
52,2,15,0.3,2.0,25.8,2.8,90,52,0,0,0,0,1,0,True,17
53,8,29,0.7,8.0,19.0,2.8,90,52,0,0,0,0,0,0,True,4
54,1,20,10.8,4.0,26.6,4.1,90,52,0,0,0,0,2,0,False,13
55,7,33,14.6,21.0,40.4,7.6,90,52,0,1,0,0,1,0,False,14
56,0,17,2.8,11.0,16.2,3.0,90,53,0,0,1,0,3,0,True,6
57,7,23,0.8,35.0,49.0,8.5,90,53,1,0,0,0,2,0,True,12
58,0,9,10.1,22.0,15.4,4.8,90,53,0,0,1,0,2,0,False,18
59,0,14,0.9,4.0,29.2,3.4,90,53,0,0,1,0,2,0,False,10
60,6,28,0.6,8.0,24.2,3.3,90,53,0,0,0,0,0,0,True,8
61,6,26,0.8,4.0,17.6,2.2,90,54,0,0,0,0,0,0,False,5
62,8,28,11.0,4.0,26.2,4.1,90,54,0,0,0,0,0,0,True,18
63,1,13,1.0,14.0,28.2,4.3,90,55,0,0,0,0,2,0,False,7
64,2,13,11.6,13.0,19.0,4.4,90,55,0,0,0,0,1,0,True,16
65,-1,9,0.0,0.0,15.2,1.5,90,55,0,0,1,0,5,0,False,11
66,2,16,11.8,25.0,25.6,6.2,90,55,0,0,0,0,1,0,True,15
67,2,16,12.8,86.0,14.6,11.3,90,55,0,0,0,0,1,0,True,2
68,2,13,0.9,5.0,14.8,2.1,90,56,0,0,0,0,1,0,False,19
69,5,18,12.1,6.0,21.4,4.0,90,56,0,0,1,0,0,0,False,3
70,0,15,26.3,4.0,20.2,5.1,90,56,0,0,1,0,2,0,True,13
71,1,11,13.9,32.0,21.6,6.8,90,56,0,0,0,0,2,0,False,4
72,6,26,1.8,2.0,24.4,2.8,90,56,0,0,0,0,0,0,True,14
73,0,18,1.6,4.0,19.6,2.5,90,56,0,0,0,0,5,0,False,6
74,1,13,12.7,9.0,27.4,4.9,90,56,0,0,0,0,2,0,True,20
75,2,17,11.1,19.0,29.0,5.9,90,56,0,0,0,0,1,0,True,1
76,0,13,10.5,32.0,27.2,7.0,90,55,0,0,0,0,5,0,False,17
77,1,14,1.6,2.0,10.6,1.4,90,55,0,0,0,0,2,0,False,14
78,5,25,0.7,0.0,17.0,1.8,90,55,0,0,1,0,0,0,True,20
79,10,35,11.7,7.0,65.4,8.4,90,55,1,0,1,0,1,0,False,16
80,1,15,1.0,0.0,27.2,2.8,90,55,0,0,0,0,2,0,True,12
81,-1,15,1.2,57.0,31.2,8.9,90,55,0,0,1,0,4,0,False,2
82,2,14,2.5,19.0,21.2,4.3,90,55,0,0,0,0,1,0,True,10
83,18,50,0.5,90.0,49.6,14.0,90,55,1,1,0,0,0,0,False,15
84,1,18,0.9,0.0,38.6,4.0,90,55,0,0,0,0,2,0,True,8
85,1,11,1.0,21.0,17.8,4.0,90,55,0,0,0,0,3,0,False,1
86,2,18,14.2,37.0,18.8,7.0,90,55,0,0,0,0,1,0,True,19
87,1,6,0.2,2.0,9.8,1.2,26,55,0,0,0,0,0,0,False,5
88,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,True,4
89,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,3
90,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,18
91,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,9
92,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,17
93,2,18,1.1,0.0,16.0,1.7,90,54,0,0,0,0,1,0,False,7
94,6,23,0.3,2.0,7.6,1.0,90,54,0,0,0,0,0,0,False,6
95,1,13,3.3,4.0,29.0,3.6,90,54,0,0,1,0,1,0,True,13
96,2,15,10.8,4.0,26.6,4.1,90,54,0,0,0,0,1,0,True,5
97,7,28,10.4,4.0,30.0,4.4,90,54,0,0,0,0,0,0,False,8
98,1,14,37.6,35.0,23.8,9.6,90,54,0,0,0,0,2,0,True,16
99,0,3,10.7,17.0,2.4,3.0,47,54,0,0,0,0,2,0,False,20
100,8,21,0.7,19.0,49.8,7.0,90,54,1,0,1,0,1,0,False,12
101,2,12,3.7,8.0,14.4,2.6,90,54,0,0,0,0,1,0,True,14
102,1,11,1.0,21.0,29.0,5.1,90,54,0,0,0,0,3,0,False,17
103,0,14,3.8,32.0,10.4,4.6,90,54,0,0,0,0,4,0,True,7
104,2,19,14.6,6.0,23.2,4.4,90,54,0,0,0,0,1,0,True,3
105,1,12,13.5,34.0,15.6,6.3,90,54,0,0,0,0,2,0,False,18
106,2,16,1.1,4.0,21.6,2.7,90,54,0,0,0,0,1,0,True,9
107,-2,-7,0.0,0.0,0.0,0.0,3,54,0,0,0,1,1,0,False,4
108,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,2
109,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,10
110,2,14,3.7,19.0,24.6,4.7,90,54,0,0,0,0,1,0,True,15
111,1,11,0.8,12.0,10.8,2.4,90,54,0,0,0,0,2,0,False,19
112,6,28,1.2,4.0,26.4,3.2,90,54,0,0,0,0,0,0,True,1
113,1,16,10.8,2.0,21.8,3.5,90,54,0,0,1,0,1,0,False,13
114,8,31,0.7,0.0,25.6,2.6,90,54,0,0,0,0,0,0,True,6
115,6,29,10.8,8.0,34.8,5.4,90,55,0,0,0,0,0,0,True,6
116,2,20,11.5,4.0,22.8,3.8,90,55,0,0,0,0,1,0,False,20
117,1,17,6.4,19.0,17.4,4.3,90,55,0,0,0,0,2,0,True,7
118,1,13,12.6,0.0,17.0,3.0,90,55,0,0,1,0,1,0,False,16
119,6,24,0.4,21.0,23.2,4.5,90,55,0,0,0,0,0,0,True,9
120,1,9,0.3,21.0,19.6,4.1,90,55,0,0,0,0,2,0,False,19
121,2,9,1.4,15.0,14.0,3.0,90,55,0,0,0,0,1,0,True,1
122,2,11,23.2,31.0,17.4,7.2,90,55,0,0,0,0,1,0,False,13
123,2,11,0.1,0.0,20.4,2.1,90,54,0,0,0,0,1,0,True,10
124,2,12,21.4,24.0,10.4,5.6,90,54,0,0,0,0,1,0,False,14
125,2,13,11.8,4.0,10.8,2.7,90,54,0,0,0,0,1,0,False,3
126,2,9,0.8,14.0,11.0,2.6,90,54,0,0,0,0,1,0,True,4
127,1,13,11.8,6.0,22.8,4.1,90,53,0,0,0,0,3,0,False,15
128,0,8,13.3,2.0,15.2,3.1,90,53,0,0,1,0,2,0,True,2
129,2,12,0.2,0.0,17.6,1.8,90,53,0,0,0,0,1,0,True,17
130,2,16,0.1,0.0,30.0,3.0,90,53,0,0,0,0,1,0,False,11
131,2,10,2.8,40.0,11.2,5.4,90,53,0,0,0,0,1,0,True,8
132,1,14,2.0,17.0,23.6,4.3,90,53,0,0,0,0,2,0,False,18
133,2,20,3.2,25.0,27.2,5.5,90,53,0,0,0,0,1,0,True,13
134,8,28,11.2,2.0,21.2,3.4,90,52,0,0,0,0,0,0,False,5
135,1,10,2.4,33.0,23.8,5.9,90,52,0,0,0,0,2,0,False,1
136,6,31,2.0,0.0,20.6,2.3,90,52,0,0,0,0,0,0,True,14
137,1,15,0.8,2.0,22.4,2.5,90,52,0,0,0,0,2,0,False,10
138,1,17,2.1,2.0,16.6,2.1,90,52,0,0,0,0,2,0,True,5
