gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,11
2,1,0,0.8,0.0,1.2,0.2,23,45,0,0,0,0,0,0,False,4
3,1,3,0.5,4.0,0.0,0.5,13,45,0,0,0,0,0,0,True,18
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,3
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,17
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,16
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
8,?,?,?,?,?,?,6,?,?,?,?,?,?,?,?,20
9,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,10
10,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,12
11,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,7
12,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,8
13,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,1
14,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,19
