gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

144,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,9
145,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,17
146,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,16
147,?,?,?,?,?,?,19,?,?,?,?,?,?,?,?,20
148,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,2
149,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,15
150,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,3
