gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

143,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,14
144,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,20
145,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,9
146,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,17
147,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,10
148,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,2
149,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,18
