gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

67,?,?,?,?,?,?,22,?,?,?,?,?,?,?,?,14
68,?,?,?,?,?,?,25,?,?,?,?,?,?,?,?,20
69,?,?,?,?,?,?,24,?,?,?,?,?,?,?,?,9
70,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,17
71,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,10
72,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,2
73,?,?,?,?,?,?,19,?,?,?,?,?,?,?,?,18
