gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

18,2,6,1.5,4.0,3.0,0.9,64,44,0,0,0,0,3,0,False,12
19,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,3
20,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,17
21,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,13
22,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,10
23,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,20
24,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,9
25,1,3,0.0,0.0,0.0,0.0,3,44,0,0,0,0,0,0,False,15
