gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

21,2,6,6.5,7.0,8.8,2.2,65,54,0,0,0,0,2,0,False,10
22,1,2,0.8,4.0,0.0,0.3,59,54,0,0,0,0,0,0,True,19
23,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,1
24,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,11
25,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,7
26,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,3
27,1,7,14.8,0.0,5.0,2.0,16,54,0,0,0,0,0,0,True,4
28,1,2,0.3,2.0,7.0,0.9,19,54,0,0,0,0,0,0,True,14
