gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

98,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,20
99,6,23,0.3,2.0,22.8,2.5,90,42,0,0,0,0,0,0,True,6
100,1,14,0.2,2.0,15.6,1.8,90,42,0,0,0,0,2,0,False,8
101,6,26,0.0,6.0,15.4,2.1,90,42,0,0,0,0,0,0,True,14
102,0,5,0.2,17.0,10.0,2.7,90,42,0,0,0,0,4,0,False,1
103,1,12,0.5,18.0,15.2,3.4,90,43,0,0,1,0,1,0,False,7
104,6,20,0.2,2.0,6.4,0.9,90,43,0,0,0,0,0,0,True,5
105,6,21,1.7,1.0,10.2,1.3,90,43,0,0,0,0,0,0,False,16
