gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

136,2,12,3.1,0.0,17.4,2.1,90,52,0,0,0,0,1,0,True,1
137,1,17,11.5,0.0,34.8,4.6,90,52,0,0,1,0,2,0,False,11
138,2,7,1.3,4.0,13.6,1.9,90,52,0,0,0,0,2,0,True,16
139,2,15,27.8,30.0,16.4,7.4,85,52,0,0,0,0,1,0,True,15
140,2,11,14.0,12.0,17.2,4.3,90,52,0,0,0,0,3,0,False,8
141,2,9,15.5,2.0,17.6,3.5,90,52,0,0,1,0,0,0,True,13
142,3,11,15.4,0.0,24.6,4.0,90,52,0,0,0,0,0,0,False,4
143,6,22,25.3,2.0,29.2,5.7,69,52,0,1,0,0,0,0,True,18
