gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

98,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,4
99,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,19
100,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,13
101,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,18
102,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,7
103,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,1
104,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,12
105,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,6
