gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

43,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,9
44,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,20
45,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,7
46,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,10
47,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,5
48,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,2
49,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,19
50,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,13
