gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

52,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,12
53,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,20
54,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
55,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,16
56,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,14
57,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,19
58,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,18
59,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
