gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

136,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,1
137,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,11
138,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,16
139,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,15
140,1,5,0.0,2.0,9.2,1.1,29,43,0,0,0,0,1,0,False,8
141,7,27,10.3,19.0,22.0,5.1,90,43,0,0,0,0,0,0,True,13
142,6,21,0.0,4.0,19.8,2.4,90,43,0,0,0,0,0,0,False,4
143,8,30,10.3,2.0,21.2,3.4,90,43,0,0,0,0,0,0,True,18
