gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,4
3,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,7
4,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,17
5,1,3,0.2,2.0,1.6,0.4,6,43,0,0,0,0,0,0,True,14
6,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,9
7,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,1
8,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,2
9,7,31,3.2,0.0,23.8,2.7,90,43,0,0,0,0,0,0,False,20
10,8,30,19.8,0.0,33.6,5.3,90,43,0,1,1,0,0,0,True,10
11,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,15
12,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,16
13,1,12,19.9,0.0,11.8,3.2,90,43,0,0,0,0,3,0,True,12
14,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,11
15,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,13
16,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,8
17,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,5
18,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,19
19,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,6
20,1,12,3.4,10.0,14.2,2.8,77,43,0,0,1,0,1,0,True,15
21,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,2
22,1,3,0.0,0.0,0.0,0.0,1,43,0,0,0,0,0,0,False,7
23,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,4
24,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,17
25,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,3
26,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,8
27,2,9,1.4,0.0,21.4,2.3,90,43,0,0,0,0,1,0,False,5
28,-1,19,11.8,4.0,26.6,4.2,90,43,0,0,1,0,5,0,False,12
29,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,11
30,1,7,0.5,2.0,15.2,1.8,90,43,0,0,0,0,3,0,False,13
31,0,7,1.5,8.0,13.0,2.3,90,43,0,0,1,0,2,0,False,14
32,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,9
