gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,8
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,19
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,13
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,1
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,11
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,20
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,15
9,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
10,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
11,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,6
12,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,14
13,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,5
14,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,16
15,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,9
16,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,7
17,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,10
18,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,12
19,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,15
20,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,2
21,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,20
22,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,3
23,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,17
24,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,2
25,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,8
26,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,4
27,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,12
28,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,10
29,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,7
