gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

1,2,6,5.8,2.0,8.2,1.6,90,45,0,0,0,0,1,0,False,13
2,1,9,12.7,2.0,13.4,2.8,90,45,0,0,0,0,3,0,True,6
3,1,6,14.7,0.0,12.4,2.7,90,45,0,0,1,0,1,0,False,17
4,1,14,12.3,0.0,13.2,2.6,90,45,0,0,0,0,3,0,True,5
5,2,14,2.6,2.0,21.8,2.6,90,45,0,0,0,0,1,0,True,19
6,1,7,2.1,22.0,10.6,3.5,90,45,0,0,0,0,2,0,False,14
7,2,5,1.0,0.0,7.2,0.8,90,45,0,0,0,0,1,0,False,20
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,1
9,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,2
10,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,7
11,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
12,1,3,0.0,0.0,0.0,0.0,6,44,0,0,0,0,0,0,True,8
13,1,2,0.0,0.0,0.0,0.0,6,44,0,0,0,0,0,0,False,16
14,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,4
15,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,18
16,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,11
17,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,3
18,1,2,0.3,2.0,1.4,0.4,26,43,0,0,0,0,1,0,True,9
19,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,14
20,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,19
21,5,19,1.2,0.0,16.0,1.7,90,43,0,0,1,0,0,0,True,17
22,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,5
23,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,13
24,1,4,0.0,0.0,3.0,0.3,1,43,0,0,0,0,0,0,False,6
25,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,10
26,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,3
27,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,18
28,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,8
29,0,6,0.4,1.0,4.8,0.6,52,43,0,0,0,0,2,0,True,11
30,1,18,7.5,2.0,14.8,2.4,88,43,0,0,0,0,2,0,True,20
31,2,12,7.0,0.0,15.6,2.3,90,43,0,0,0,0,1,0,False,12
32,2,9,7.1,6.0,14.8,2.8,90,43,0,0,0,0,1,0,True,2
